AccountID,CustomerID,AccountType,Currency,Status
ACC0001,CUST0101,Credit,INR,Suspended
ACC0002,CUST0436,Savings,AUD,Closed
ACC0003,CUST0138,Credit,EUR,Suspended
ACC0004,CUST0261,Checking,USD,Suspended
ACC0005,CUST0489,Savings,USD,Active
ACC0006,CUST0785,Savings,INR,Closed
ACC0007,CUST0239,Checking,EUR,Closed
ACC0008,CUST0932,Loan,CAD,Suspended
ACC0009,CUST0880,Savings,INR,Closed
ACC0010,CUST0086,Loan,USD,Closed
ACC0011,CUST0291,Savings,CAD,Closed
ACC0012,CUST0613,Credit,AUD,Closed
ACC0013,CUST0898,Loan,USD,Closed
ACC0014,CUST0557,Credit,EUR,Suspended
ACC0015,CUST0419,Savings,INR,Suspended
ACC0016,CUST0264,Credit,INR,Closed
ACC0017,CUST0194,Savings,EUR,Active
ACC0018,CUST0006,Savings,USD,Closed
ACC0019,CUST0727,Credit,EUR,Active
ACC0020,CUST0762,Savings,INR,Suspended
ACC0021,CUST0809,Checking,USD,Suspended
ACC0022,CUST0008,Savings,GBP,Suspended
ACC0023,CUST0592,Savings,USD,Closed
ACC0024,CUST0536,Checking,CAD,Suspended
ACC0025,CUST0121,Loan,AUD,Closed
ACC0026,CUST0533,Checking,EUR,Closed
ACC0027,CUST0008,Checking,AUD,Suspended
ACC0028,CUST0385,Checking,USD,Suspended
ACC0029,CUST0671,Checking,USD,Suspended
ACC0030,CUST0211,Loan,USD,Active
ACC0031,CUST0705,Savings,CAD,Active
ACC0032,CUST0824,Credit,AUD,Closed
ACC0033,CUST0324,Loan,AUD,Active
ACC0034,CUST0419,Loan,EUR,Active
ACC0035,CUST0371,Savings,USD,Suspended
ACC0036,CUST0110,Checking,EUR,Suspended
ACC0037,CUST0159,Checking,CAD,Closed
ACC0038,CUST0437,Loan,GBP,Closed
ACC0039,CUST0668,Credit,INR,Active
ACC0040,CUST0600,Checking,INR,Closed
ACC0041,CUST0260,Loan,CAD,Suspended
ACC0042,CUST0268,Credit,GBP,Suspended
ACC0043,CUST0876,Credit,USD,Active
ACC0044,CUST0549,Credit,INR,Suspended
ACC0045,CUST0434,Credit,AUD,Suspended
ACC0046,CUST0579,Loan,AUD,Suspended
ACC0047,CUST0375,Loan,EUR,Suspended
ACC0048,CUST0627,Credit,GBP,Suspended
ACC0049,CUST0283,Checking,EUR,Active
ACC0050,CUST0697,Checking,USD,Closed
ACC0051,CUST0407,Loan,AUD,Active
ACC0052,CUST0774,Credit,EUR,Active
ACC0053,CUST0209,Credit,GBP,Active
ACC0054,CUST0424,Loan,USD,Closed
ACC0055,CUST0566,Loan,USD,Suspended
ACC0056,CUST0803,Loan,GBP,Closed
ACC0057,CUST0571,Savings,EUR,Active
ACC0058,CUST0495,Savings,CAD,Closed
ACC0059,CUST0184,Credit,EUR,Active
ACC0060,CUST0380,Savings,INR,Suspended
ACC0061,CUST0573,Checking,GBP,Active
ACC0062,CUST0569,Credit,AUD,Suspended
ACC0063,CUST0496,Savings,EUR,Active
ACC0064,CUST0260,Credit,CAD,Active
ACC0065,CUST0315,Checking,EUR,Closed
ACC0066,CUST0592,Checking,AUD,Suspended
ACC0067,CUST0353,Credit,USD,Active
ACC0068,CUST0793,Savings,EUR,Suspended
ACC0069,CUST0723,Credit,USD,Closed
ACC0070,CUST0408,Checking,INR,Suspended
ACC0071,CUST0754,Savings,AUD,Closed
ACC0072,CUST0142,Savings,CAD,Closed
ACC0073,CUST0876,Loan,EUR,Suspended
ACC0074,CUST0885,Credit,USD,Suspended
ACC0075,CUST0676,Checking,CAD,Active
ACC0076,CUST0122,Checking,USD,Closed
ACC0077,CUST0766,Credit,USD,Suspended
ACC0078,CUST0236,Credit,USD,Closed
ACC0079,CUST0458,Checking,EUR,Active
ACC0080,CUST0802,Checking,USD,Suspended
ACC0081,CUST0717,Credit,INR,Suspended
ACC0082,CUST0973,Credit,INR,Closed
ACC0083,CUST0166,Savings,AUD,Suspended
ACC0084,CUST0103,Loan,GBP,Suspended
ACC0085,CUST0220,Checking,CAD,Closed
ACC0086,CUST0521,Savings,INR,Active
ACC0087,CUST0411,Credit,CAD,Suspended
ACC0088,CUST0805,Loan,INR,Active
ACC0089,CUST0347,Checking,EUR,Closed
ACC0090,CUST0821,Loan,EUR,Closed
ACC0091,CUST0564,Savings,EUR,Active
ACC0092,CUST0629,Credit,INR,Suspended
ACC0093,CUST0714,Savings,GBP,Suspended
ACC0094,CUST0701,Loan,AUD,Closed
ACC0095,CUST0724,Savings,CAD,Closed
ACC0096,CUST0054,Savings,CAD,Suspended
ACC0097,CUST0165,Credit,EUR,Active
ACC0098,CUST0399,Credit,EUR,Closed
ACC0099,CUST0988,Loan,AUD,Suspended
ACC0100,CUST0652,Loan,INR,Suspended
ACC0101,CUST0006,Savings,USD,Suspended
ACC0102,CUST0824,Checking,AUD,Active
ACC0103,CUST0094,Savings,EUR,Suspended
ACC0104,CUST0844,Loan,INR,Closed
ACC0105,CUST0149,Savings,CAD,Active
ACC0106,CUST0483,Credit,AUD,Closed
ACC0107,CUST0949,Savings,USD,Active
ACC0108,CUST0615,Credit,INR,Suspended
ACC0109,CUST0446,Checking,GBP,Suspended
ACC0110,CUST0091,Credit,GBP,Active
ACC0111,CUST0066,Checking,CAD,Suspended
ACC0112,CUST0270,Checking,USD,Closed
ACC0113,CUST0228,Savings,AUD,Suspended
ACC0114,CUST0380,Loan,EUR,Active
ACC0115,CUST0082,Loan,EUR,Closed
ACC0116,CUST0624,Savings,USD,Closed
ACC0117,CUST0039,Checking,AUD,Active
ACC0118,CUST0742,Loan,USD,Closed
ACC0119,CUST0394,Credit,AUD,Closed
ACC0120,CUST0954,Loan,GBP,Active
ACC0121,CUST0411,Checking,AUD,Closed
ACC0122,CUST0629,Checking,AUD,Suspended
ACC0123,CUST0672,Credit,EUR,Suspended
ACC0124,CUST0534,Savings,CAD,Active
ACC0125,CUST0294,Loan,INR,Closed
ACC0126,CUST0729,Savings,INR,Closed
ACC0127,CUST0987,Loan,EUR,Suspended
ACC0128,CUST0612,Credit,GBP,Suspended
ACC0129,CUST0059,Savings,USD,Active
ACC0130,CUST0969,Loan,EUR,Suspended
ACC0131,CUST0793,Loan,USD,Active
ACC0132,CUST0840,Checking,EUR,Closed
ACC0133,CUST0180,Checking,INR,Suspended
ACC0134,CUST0656,Loan,CAD,Closed
ACC0135,CUST0507,Checking,CAD,Suspended
ACC0136,CUST0450,Loan,EUR,Suspended
ACC0137,CUST0011,Loan,EUR,Closed
ACC0138,CUST0207,Checking,INR,Closed
ACC0139,CUST0871,Checking,USD,Suspended
ACC0140,CUST0673,Checking,USD,Active
ACC0141,CUST0954,Savings,INR,Suspended
ACC0142,CUST0824,Credit,GBP,Suspended
ACC0143,CUST0531,Loan,GBP,Suspended
ACC0144,CUST0293,Credit,EUR,Closed
ACC0145,CUST0200,Savings,CAD,Closed
ACC0146,CUST0035,Savings,GBP,Suspended
ACC0147,CUST0803,Loan,GBP,Closed
ACC0148,CUST0614,Loan,AUD,Closed
ACC0149,CUST0523,Credit,CAD,Active
ACC0150,CUST0529,Credit,USD,Active
ACC0151,CUST0716,Checking,USD,Closed
ACC0152,CUST0238,Credit,INR,Closed
ACC0153,CUST0630,Credit,USD,Closed
ACC0154,CUST0174,Savings,AUD,Active
ACC0155,CUST0691,Credit,EUR,Closed
ACC0156,CUST0037,Checking,EUR,Suspended
ACC0157,CUST0369,Credit,USD,Active
ACC0158,CUST0245,Loan,CAD,Closed
ACC0159,CUST0671,Checking,AUD,Closed
ACC0160,CUST0001,Loan,USD,Suspended
ACC0161,CUST1000,Savings,USD,Suspended
ACC0162,CUST0162,Checking,EUR,Closed
ACC0163,CUST0089,Checking,INR,Closed
ACC0164,CUST0283,Credit,CAD,Closed
ACC0165,CUST0799,Checking,AUD,Suspended
ACC0166,CUST0410,Savings,AUD,Closed
ACC0167,CUST0362,Savings,GBP,Closed
ACC0168,CUST0686,Savings,CAD,Closed
ACC0169,CUST0405,Checking,EUR,Active
ACC0170,CUST0416,Checking,INR,Closed
ACC0171,CUST0601,Credit,INR,Active
ACC0172,CUST0206,Savings,GBP,Suspended
ACC0173,CUST0531,Credit,EUR,Suspended
ACC0174,CUST0016,Savings,USD,Active
ACC0175,CUST0755,Credit,GBP,Active
ACC0176,CUST0721,Loan,EUR,Active
ACC0177,CUST0071,Loan,USD,Closed
ACC0178,CUST0942,Savings,EUR,Closed
ACC0179,CUST0093,Credit,INR,Suspended
ACC0180,CUST0563,Checking,CAD,Suspended
ACC0181,CUST0292,Checking,EUR,Suspended
ACC0182,CUST0744,Checking,CAD,Suspended
ACC0183,CUST0850,Credit,EUR,Active
ACC0184,CUST0573,Loan,USD,Closed
ACC0185,CUST0937,Checking,CAD,Active
ACC0186,CUST0597,Savings,AUD,Suspended
ACC0187,CUST0357,Loan,CAD,Suspended
ACC0188,CUST0356,Savings,USD,Suspended
ACC0189,CUST0987,Credit,CAD,Closed
ACC0190,CUST0836,Checking,EUR,Active
ACC0191,CUST0284,Savings,EUR,Suspended
ACC0192,CUST0232,Credit,AUD,Closed
ACC0193,CUST0621,Checking,CAD,Closed
ACC0194,CUST0987,Credit,EUR,Active
ACC0195,CUST0200,Savings,CAD,Suspended
ACC0196,CUST0466,Loan,GBP,Active
ACC0197,CUST0953,Savings,EUR,Active
ACC0198,CUST0414,Savings,CAD,Active
ACC0199,CUST0589,Loan,INR,Active
ACC0200,CUST0005,Credit,EUR,Active
ACC0201,CUST0268,Credit,INR,Active
ACC0202,CUST0180,Savings,GBP,Suspended
ACC0203,CUST0417,Savings,GBP,Suspended
ACC0204,CUST0519,Credit,EUR,Suspended
ACC0205,CUST0110,Loan,GBP,Closed
ACC0206,CUST0573,Checking,EUR,Suspended
ACC0207,CUST0075,Loan,USD,Suspended
ACC0208,CUST0516,Savings,INR,Closed
ACC0209,CUST0302,Credit,AUD,Active
ACC0210,CUST0349,Loan,USD,Active
ACC0211,CUST0970,Savings,GBP,Active
ACC0212,CUST0120,Checking,EUR,Suspended
ACC0213,CUST0823,Checking,USD,Active
ACC0214,CUST0526,Loan,CAD,Active
ACC0215,CUST0980,Savings,CAD,Suspended
ACC0216,CUST0264,Savings,CAD,Suspended
ACC0217,CUST0898,Checking,EUR,Closed
ACC0218,CUST0551,Credit,GBP,Closed
ACC0219,CUST0833,Credit,EUR,Active
ACC0220,CUST0813,Loan,GBP,Closed
ACC0221,CUST0589,Loan,AUD,Active
ACC0222,CUST0257,Checking,EUR,Closed
ACC0223,CUST0711,Savings,INR,Suspended
ACC0224,CUST0454,Credit,AUD,Active
ACC0225,CUST0990,Credit,EUR,Active
ACC0226,CUST0387,Credit,AUD,Active
ACC0227,CUST0577,Credit,AUD,Suspended
ACC0228,CUST0496,Checking,EUR,Closed
ACC0229,CUST0789,Credit,USD,Suspended
ACC0230,CUST0250,Savings,CAD,Active
ACC0231,CUST0776,Credit,AUD,Suspended
ACC0232,CUST0348,Loan,CAD,Suspended
ACC0233,CUST0985,Savings,EUR,Closed
ACC0234,CUST0795,Credit,AUD,Closed
ACC0235,CUST0470,Checking,CAD,Active
ACC0236,CUST0698,Checking,CAD,Suspended
ACC0237,CUST0472,Credit,GBP,Closed
ACC0238,CUST0919,Loan,USD,Active
ACC0239,CUST0601,Checking,INR,Active
ACC0240,CUST0883,Savings,CAD,Active
ACC0241,CUST0029,Loan,INR,Closed
