CardID,CustomerID,AccountID,CardType,CardStatus,IssueDate,ExpiryDate
CARD0001,CUST0503,ACC0335,Visa Platinum,Expired,2024-10-03,2029-10-02
CARD0002,CUST0733,ACC0687,Visa Gold,Expired,2025-04-21,2030-04-20
CARD0003,CUST0864,ACC0767,Visa Gold,Active,2025-03-29,2030-03-28
CARD0004,CUST0889,ACC0476,Mastercard Standard,Expired,2021-11-05,2026-11-04
CARD0005,CUST0911,ACC0497,Amex Platinum,Blocked,2022-04-25,2027-04-24
CARD0006,CUST0422,ACC0473,Visa Platinum,Blocked,2024-02-05,2029-02-03
CARD0007,CUST0408,ACC0070,Amex Platinum,Active,2023-11-06,2028-11-04
CARD0008,CUST0220,ACC0085,Visa Platinum,Active,2022-03-05,2027-03-04
CARD0009,CUST0407,ACC0562,Visa Gold,Blocked,2022-01-18,2027-01-17
CARD0010,CUST0612,ACC0673,Visa Gold,Expired,2022-09-20,2027-09-19
CARD0011,CUST0226,ACC0249,Visa Platinum,Blocked,2024-09-26,2029-09-25
CARD0012,CUST0329,ACC0731,Amex Platinum,Active,2024-07-15,2029-07-14
CARD0013,CUST0657,ACC0973,Amex Platinum,Active,2021-01-21,2026-01-20
CARD0014,CUST0102,ACC0449,Mastercard Standard,Blocked,2023-02-02,2028-02-01
CARD0015,CUST0293,ACC0144,Visa Platinum,Active,2025-01-11,2030-01-10
CARD0016,CUST0666,ACC0483,Amex Platinum,Blocked,2023-11-27,2028-11-25
CARD0017,CUST0172,ACC0841,Visa Gold,Blocked,2023-06-10,2028-06-08
CARD0018,CUST0700,ACC0286,Amex Platinum,Blocked,2025-04-19,2030-04-18
CARD0019,CUST0255,ACC0862,Amex Platinum,Expired,2022-06-17,2027-06-16
CARD0020,CUST0410,ACC0166,Mastercard Standard,Expired,2021-09-22,2026-09-21
CARD0021,CUST0755,ACC0175,Amex Platinum,Expired,2023-04-07,2028-04-05
CARD0022,CUST0381,ACC0859,Mastercard Standard,Blocked,2024-03-03,2029-03-02
CARD0023,CUST0727,ACC0019,Visa Gold,Active,2024-07-13,2029-07-12
CARD0024,CUST0612,ACC0622,Visa Gold,Blocked,2024-01-26,2029-01-24
CARD0025,CUST0094,ACC0103,Visa Gold,Active,2023-02-02,2028-02-01
CARD0026,CUST0744,ACC0182,Visa Gold,Expired,2022-04-17,2027-04-16
CARD0027,CUST0256,ACC0302,Visa Gold,Blocked,2025-07-04,2030-07-03
CARD0028,CUST0612,ACC0128,Amex Platinum,Blocked,2024-08-03,2029-08-02
CARD0029,CUST0875,ACC0548,Visa Platinum,Expired,2022-12-10,2027-12-09
CARD0030,CUST0381,ACC0760,Visa Gold,Blocked,2022-03-05,2027-03-04
CARD0031,CUST0411,ACC0401,Amex Platinum,Blocked,2024-08-25,2029-08-24
CARD0032,CUST0531,ACC0173,Mastercard Standard,Blocked,2024-07-08,2029-07-07
CARD0033,CUST0802,ACC0080,Visa Gold,Expired,2024-06-25,2029-06-24
CARD0034,CUST0755,ACC0688,Visa Platinum,Active,2024-11-26,2029-11-25
CARD0035,CUST0257,ACC0782,Amex Platinum,Active,2025-05-23,2030-05-22
CARD0036,CUST0613,ACC0012,Amex Platinum,Blocked,2024-01-29,2029-01-27
CARD0037,CUST0270,ACC0694,Amex Platinum,Active,2021-04-03,2026-04-02
CARD0038,CUST0916,ACC0280,Mastercard Standard,Active,2024-10-07,2029-10-06
CARD0039,CUST0245,ACC0158,Visa Platinum,Active,2022-03-29,2027-03-28
CARD0040,CUST0062,ACC0452,Visa Gold,Active,2021-01-31,2026-01-30
CARD0041,CUST0324,ACC0367,Mastercard Standard,Blocked,2025-05-27,2030-05-26
