WalletID,CustomerID,CardID,WalletProvider,Status
WAL0001,CUST0587,CARD0098,PayPal,Linked
WAL0002,CUST0334,CARD0336,PayPal,Unlinked
WAL0003,CUST0234,CARD0205,Google Pay,Linked
WAL0004,CUST0475,CARD0618,Venmo,Unlinked
WAL0005,CUST0178,CARD0541,Google Pay,Linked
WAL0006,CUST0205,CARD0764,Google Pay,Linked
WAL0007,CUST0278,CARD0195,Venmo,Active
WAL0008,CUST0434,CARD1000,Samsung Pay,Active
WAL0009,CUST0093,CARD0783,Google Pay,Unlinked
WAL0010,CUST0456,CARD0614,Apple Pay,Unlinked
WAL0011,CUST0846,CARD0087,Google Pay,Active
WAL0012,CUST0436,CARD0159,Google Pay,Unlinked
WAL0013,CUST0675,CARD0130,Google Pay,Active
WAL0014,CUST0151,CARD0413,Apple Pay,Linked
WAL0015,CUST0878,CARD0011,Venmo,Linked
WAL0016,CUST0229,CARD0031,Apple Pay,Active
WAL0017,CUST0690,CARD0005,Samsung Pay,Active
WAL0018,CUST0114,CARD0919,Apple Pay,Active
WAL0019,CUST0211,CARD0069,Apple Pay,Linked
WAL0020,CUST0889,CARD0297,PayPal,Linked
WAL0021,CUST0908,CARD0305,Venmo,Linked
WAL0022,CUST0203,CARD0051,Google Pay,Linked
WAL0023,CUST0806,CARD0669,Google Pay,Unlinked
WAL0024,CUST0421,CARD0675,Google Pay,Unlinked
WAL0025,CUST0118,CARD0716,Venmo,Unlinked
WAL0026,CUST0013,CARD0478,Samsung Pay,Active
WAL0027,CUST0659,CARD0953,Samsung Pay,Linked
WAL0028,CUST0960,CARD0409,Google Pay,Unlinked
WAL0029,CUST0812,CARD0151,Google Pay,Linked
WAL0030,CUST0633,CARD0861,Samsung Pay,Linked
WAL0031,CUST0266,CARD0632,PayPal,Unlinked
WAL0032,CUST0290,CARD0742,Apple Pay,Active
WAL0033,CUST0730,CARD0765,Venmo,Active
WAL0034,CUST0096,CARD0967,Venmo,Linked
WAL0035,CUST0989,CARD0069,Venmo,Active
WAL0036,CUST0446,CARD0980,Google Pay,Active
WAL0037,CUST0307,CARD0812,Venmo,Linked
WAL0038,CUST0141,CARD0313,Apple Pay,Unlinked
WAL0039,CUST0962,CARD0759,PayPal,Unlinked
WAL0040,CUST0205,CARD0668,Samsung Pay,Linked
WAL0041,CUST0733,CARD0678,Samsung Pay,Unlinked
WAL0042,CUST0102,CARD0233,Apple Pay,Unlinked
WAL0043,CUST0399,CARD0874,Samsung Pay,Linked
WAL0044,CUST0358,CARD0035,Samsung Pay,Unlinked
WAL0045,CUST0283,CARD0892,Samsung Pay,Linked
WAL0046,CUST0922,CARD0292,Google Pay,Active
WAL0047,CUST0837,CARD0749,PayPal,Active
WAL0048,CUST0295,CARD0959,Apple Pay,Active
WAL0049,CUST0120,CARD0578,PayPal,Unlinked
WAL0050,CUST0938,CARD0073,Samsung Pay,Active
WAL0051,CUST0767,CARD0223,PayPal,Linked
WAL0052,CUST0202,CARD0308,Venmo,Active
WAL0053,CUST0471,CARD0122,Venmo,Unlinked
WAL0054,CUST0183,CARD0018,Venmo,Linked
WAL0055,CUST0476,CARD0210,Apple Pay,Linked
WAL0056,CUST0482,CARD0529,Google Pay,Active
WAL0057,CUST0675,CARD0832,Venmo,Linked
WAL0058,CUST0917,CARD0589,Google Pay,Linked
WAL0059,CUST0398,CARD0508,Apple Pay,Unlinked
WAL0060,CUST0536,CARD0330,Apple Pay,Linked
WAL0061,CUST0371,CARD0156,Apple Pay,Linked
WAL0062,CUST0489,CARD0923,PayPal,Active
WAL0063,CUST0974,CARD0651,Samsung Pay,Unlinked
WAL0064,CUST0431,CARD0864,Google Pay,Active
WAL0065,CUST0916,CARD0557,Google Pay,Active
WAL0066,CUST0941,CARD0482,Google Pay,Unlinked
WAL0067,CUST0771,CARD0136,Google Pay,Unlinked
WAL0068,CUST0033,CARD0034,PayPal,Linked
WAL0069,CUST0433,CARD0606,Google Pay,Unlinked
WAL0070,CUST0880,CARD0628,Google Pay,Active
WAL0071,CUST0710,CARD0554,PayPal,Active
WAL0072,CUST0214,CARD0446,PayPal,Active
WAL0073,CUST0810,CARD0660,PayPal,Unlinked
WAL0074,CUST0258,CARD0336,PayPal,Unlinked
WAL0075,CUST0619,CARD0853,Google Pay,Unlinked
WAL0076,CUST0300,CARD0688,Google Pay,Linked
WAL0077,CUST0185,CARD0393,Apple Pay,Active
WAL0078,CUST0639,CARD0305,PayPal,Active
WAL0079,CUST0999,CARD0164,Venmo,Linked
WAL0080,CUST0047,CARD0761,Apple Pay,Active
WAL0081,CUST0839,CARD0805,PayPal,Unlinked
WAL0082,CUST0285,CARD0684,PayPal,Active
WAL0083,CUST0902,CARD0963,Samsung Pay,Linked
WAL0084,CUST0439,CARD0715,PayPal,Active
WAL0085,CUST0829,CARD0139,Apple Pay,Active
WAL0086,CUST0072,CARD0304,PayPal,Linked
WAL0087,CUST0485,CARD0931,Apple Pay,Active
WAL0088,CUST0336,CARD0012,Google Pay,Linked
WAL0089,CUST0879,CARD0338,Venmo,Linked
WAL0090,CUST0349,CARD0636,Samsung Pay,Unlinked
WAL0091,CUST0103,CARD0993,Apple Pay,Linked
WAL0092,CUST0524,CARD0727,Google Pay,Active
WAL0093,CUST0564,CARD0665,PayPal,Unlinked
WAL0094,CUST0452,CARD0155,Apple Pay,Active
WAL0095,CUST0021,CARD0057,Samsung Pay,Active
WAL0096,CUST0089,CARD0532,Venmo,Linked
WAL0097,CUST0856,CARD0188,Samsung Pay,Unlinked
WAL0098,CUST0867,CARD0240,Google Pay,Active
WAL0099,CUST0507,CARD0345,Venmo,Unlinked
WAL0100,CUST0635,CARD0852,Venmo,Linked
WAL0101,CUST0631,CARD0238,Samsung Pay,Active
WAL0102,CUST0579,CARD0032,Google Pay,Active
WAL0103,CUST0194,CARD0584,Samsung Pay,Unlinked
WAL0104,CUST0177,CARD0955,Apple Pay,Unlinked
WAL0105,CUST0307,CARD0497,Apple Pay,Linked
WAL0106,CUST0715,CARD0437,PayPal,Unlinked
WAL0107,CUST0188,CARD0439,Samsung Pay,Unlinked
WAL0108,CUST0043,CARD0624,Apple Pay,Linked
WAL0109,CUST0904,CARD0966,Google Pay,Linked
WAL0110,CUST0173,CARD0820,PayPal,Linked
WAL0111,CUST0294,CARD0105,Samsung Pay,Active
WAL0112,CUST0574,CARD0638,Apple Pay,Linked
WAL0113,CUST0225,CARD0966,PayPal,Linked
WAL0114,CUST0456,CARD0268,PayPal,Active
WAL0115,CUST0316,CARD0573,Samsung Pay,Linked
