MerchantID,MerchantName,Sector,Country
MERCH0001,Merchant Generic 1,Entertainment,Australia
MERCH0002,Merchant Generic 2,Dining,USA
MERCH0003,Merchant Generic 3,Travel,Germany
MERCH0004,Merchant Generic 4,Utilities,UK
MERCH0005,Merchant Generic 5,E-commerce,India
MERCH0006,Merchant Generic 6,Dining,India
MERCH0007,Merchant Generic 7,Utilities,Canada
MERCH0008,Merchant Generic 8,Dining,Germany
MERCH0009,Merchant Generic 9,Travel,UK
MERCH0010,Merchant Generic 10,Retail,UK
MERCH0011,Merchant Generic 11,Utilities,UK
MERCH0012,Merchant Generic 12,Travel,India
MERCH0013,Merchant Generic 13,Travel,USA
MERCH0014,Merchant Generic 14,Travel,USA
MERCH0015,Merchant Generic 15,Entertainment,Canada
MERCH0016,Merchant Generic 16,Utilities,UK
MERCH0017,Merchant Generic 17,E-commerce,India
MERCH0018,Merchant Generic 18,Entertainment,Australia
MERCH0019,Merchant Generic 19,Utilities,Germany
MERCH0020,Merchant Generic 20,Entertainment,France
MERCH0021,Merchant Generic 21,Utilities,India
MERCH0022,Merchant Generic 22,Entertainment,USA
MERCH0023,Merchant Generic 23,Dining,Germany
MERCH0024,Merchant Generic 24,E-commerce,Germany
MERCH0025,Merchant Generic 25,Utilities,Singapore
MERCH0026,Merchant Generic 26,Dining,Australia
MERCH0027,Merchant Generic 27,Entertainment,UK
MERCH0028,Merchant Generic 28,Entertainment,Germany
MERCH0029,Merchant Generic 29,Dining,Singapore
MERCH0030,Merchant Generic 30,Entertainment,India
MERCH0031,Merchant Generic 31,Entertainment,Germany
MERCH0032,Merchant Generic 32,Travel,India
MERCH0033,Merchant Generic 33,Retail,UK
MERCH0034,Merchant Generic 34,Retail,Australia
MERCH0035,Merchant Generic 35,Retail,India
MERCH0036,Merchant Generic 36,Utilities,Germany
MERCH0037,Merchant Generic 37,E-commerce,Singapore
MERCH0038,Merchant Generic 38,E-commerce,Germany
MERCH0039,Merchant Generic 39,Retail,Australia
MERCH0040,Merchant Generic 40,Utilities,India
MERCH0041,Merchant Generic 41,Retail,USA
MERCH0042,Merchant Generic 42,Travel,Singapore
MERCH0043,Merchant Generic 43,Utilities,India
MERCH0044,Merchant Generic 44,Travel,France
MERCH0045,Merchant Generic 45,Dining,UK
MERCH0046,Merchant Generic 46,E-commerce,Singapore
MERCH0047,Merchant Generic 47,Utilities,Australia
MERCH0048,Merchant Generic 48,E-commerce,USA
MERCH0049,Merchant Generic 49,Retail,India
MERCH0050,Merchant Generic 50,E-commerce,Australia
MERCH0051,Merchant Generic 51,Utilities,Singapore
MERCH0052,Merchant Generic 52,Travel,France
MERCH0053,Merchant Generic 53,Travel,Singapore
MERCH0054,Merchant Generic 54,Retail,UK
MERCH0055,Merchant Generic 55,Retail,Germany
MERCH0056,Merchant Generic 56,Entertainment,France
MERCH0057,Merchant Generic 57,Dining,Canada
MERCH0058,Merchant Generic 58,Retail,UK
MERCH0059,Merchant Generic 59,Retail,UK
MERCH0060,Merchant Generic 60,Utilities,Canada
MERCH0061,Merchant Generic 61,Retail,Australia
MERCH0062,Merchant Generic 62,Travel,Singapore
MERCH0063,Merchant Generic 63,Dining,Australia
MERCH0064,Merchant Generic 64,Entertainment,UK
MERCH0065,Merchant Generic 65,Utilities,Canada
MERCH0066,Merchant Generic 66,Retail,India
MERCH0067,Merchant Generic 67,E-commerce,Singapore
MERCH0068,Merchant Generic 68,Dining,Australia
MERCH0069,Merchant Generic 69,Retail,USA
MERCH0070,Merchant Generic 70,Utilities,Singapore
MERCH0071,Merchant Generic 71,Travel,Germany
MERCH0072,Merchant Generic 72,Travel,India
MERCH0073,Merchant Generic 73,E-commerce,Germany
MERCH0074,Merchant Generic 74,Utilities,France
MERCH0075,Merchant Generic 75,Entertainment,Canada
MERCH0076,Merchant Generic 76,Entertainment,USA
MERCH0077,Merchant Generic 77,E-commerce,France
MERCH0078,Merchant Generic 78,E-commerce,India
MERCH0079,Merchant Generic 79,Dining,USA
MERCH0080,Merchant Generic 80,Travel,Germany
MERCH0081,Merchant Generic 81,Travel,Australia
MERCH0082,Merchant Generic 82,Utilities,Singapore
MERCH0083,Merchant Generic 83,Dining,Singapore
MERCH0084,Merchant Generic 84,E-commerce,France
MERCH0085,Merchant Generic 85,E-commerce,Australia
MERCH0086,Merchant Generic 86,Utilities,France
MERCH0087,Merchant Generic 87,E-commerce,Singapore
MERCH0088,Merchant Generic 88,Travel,Singapore
MERCH0089,Merchant Generic 89,Entertainment,UK
MERCH0090,Merchant Generic 90,E-commerce,UK
MERCH0091,Merchant Generic 91,Retail,India
MERCH0092,Merchant Generic 92,Entertainment,UK
MERCH0093,Merchant Generic 93,Retail,India
MERCH0094,Merchant Generic 94,Utilities,Canada
MERCH0095,Merchant Generic 95,Utilities,USA
MERCH0096,Merchant Generic 96,Retail,Canada
MERCH0097,Merchant Generic 97,E-commerce,UK
MERCH0098,Merchant Generic 98,Retail,Canada
MERCH0099,Merchant Generic 99,E-commerce,Australia
MERCH0100,Merchant Generic 100,Retail,Singapore
MERCH0101,Merchant Generic 101,Dining,UK
MERCH0102,Merchant Generic 102,Travel,USA
MERCH0103,Merchant Generic 103,Entertainment,India
MERCH0104,Merchant Generic 104,Entertainment,Singapore
MERCH0105,Merchant Generic 105,Retail,Canada
MERCH0106,Merchant Generic 106,Dining,Singapore
MERCH0107,Merchant Generic 107,E-commerce,Canada
MERCH0108,Merchant Generic 108,Utilities,India
MERCH0109,Merchant Generic 109,Utilities,India
MERCH0110,Merchant Generic 110,Utilities,USA
MERCH0111,Merchant Generic 111,Utilities,Germany
MERCH0112,Merchant Generic 112,Entertainment,UK
MERCH0113,Merchant Generic 113,Travel,India
MERCH0114,Merchant Generic 114,E-commerce,Germany
MERCH0115,Merchant Generic 115,E-commerce,Germany
MERCH0116,Merchant Generic 116,Entertainment,France
MERCH0117,Merchant Generic 117,Travel,France
MERCH0118,Merchant Generic 118,Entertainment,Canada
MERCH0119,Merchant Generic 119,Dining,Canada
MERCH0120,Merchant Generic 120,Dining,Germany
MERCH0121,Merchant Generic 121,Entertainment,Australia
MERCH0122,Merchant Generic 122,Entertainment,France
MERCH0123,Merchant Generic 123,E-commerce,Germany
MERCH0124,Merchant Generic 124,Retail,Singapore
MERCH0125,Merchant Generic 125,Travel,Singapore
MERCH0126,Merchant Generic 126,Travel,Australia
MERCH0127,Merchant Generic 127,Utilities,France
MERCH0128,Merchant Generic 128,Travel,Canada
MERCH0129,Merchant Generic 129,Retail,Canada
MERCH0130,Merchant Generic 130,Entertainment,Singapore
MERCH0131,Merchant Generic 131,Retail,USA
MERCH0132,Merchant Generic 132,E-commerce,France
MERCH0133,Merchant Generic 133,Entertainment,India
MERCH0134,Merchant Generic 134,Dining,Canada
MERCH0135,Merchant Generic 135,Retail,Canada
MERCH0136,Merchant Generic 136,Retail,Singapore
MERCH0137,Merchant Generic 137,Travel,UK
MERCH0138,Merchant Generic 138,E-commerce,USA
MERCH0139,Merchant Generic 139,Retail,Germany
MERCH0140,Merchant Generic 140,Entertainment,Australia
MERCH0141,Merchant Generic 141,Entertainment,Australia
MERCH0142,Merchant Generic 142,Dining,UK
MERCH0143,Merchant Generic 143,Retail,Singapore
MERCH0144,Merchant Generic 144,E-commerce,France
MERCH0145,Merchant Generic 145,Dining,UK
MERCH0146,Merchant Generic 146,Dining,USA
MERCH0147,Merchant Generic 147,Travel,Singapore
MERCH0148,Merchant Generic 148,Utilities,Canada
MERCH0149,Merchant Generic 149,Dining,UK
MERCH0150,Merchant Generic 150,Retail,France
MERCH0151,Merchant Generic 151,E-commerce,Australia
MERCH0152,Merchant Generic 152,Dining,France
MERCH0153,Merchant Generic 153,Retail,USA
MERCH0154,Merchant Generic 154,Entertainment,Australia
MERCH0155,Merchant Generic 155,Entertainment,Germany
MERCH0156,Merchant Generic 156,E-commerce,Germany
MERCH0157,Merchant Generic 157,Entertainment,India
MERCH0158,Merchant Generic 158,Entertainment,Germany
MERCH0159,Merchant Generic 159,Entertainment,France
MERCH0160,Merchant Generic 160,Dining,India
MERCH0161,Merchant Generic 161,Travel,Germany
MERCH0162,Merchant Generic 162,Entertainment,Australia
MERCH0163,Merchant Generic 163,Retail,UK
MERCH0164,Merchant Generic 164,Entertainment,Canada
MERCH0165,Merchant Generic 165,Utilities,UK
MERCH0166,Merchant Generic 166,Retail,Australia
MERCH0167,Merchant Generic 167,Entertainment,Germany
MERCH0168,Merchant Generic 168,Travel,Canada
MERCH0169,Merchant Generic 169,Dining,Germany
MERCH0170,Merchant Generic 170,Utilities,UK
MERCH0171,Merchant Generic 171,Retail,Canada
MERCH0172,Merchant Generic 172,Retail,India
MERCH0173,Merchant Generic 173,Dining,France
MERCH0174,Merchant Generic 174,Travel,Germany
MERCH0175,Merchant Generic 175,Dining,Singapore
MERCH0176,Merchant Generic 176,E-commerce,Australia
MERCH0177,Merchant Generic 177,Dining,Canada
MERCH0178,Merchant Generic 178,Retail,USA
MERCH0179,Merchant Generic 179,E-commerce,Australia
MERCH0180,Merchant Generic 180,E-commerce,Australia
MERCH0181,Merchant Generic 181,Entertainment,UK
MERCH0182,Merchant Generic 182,Utilities,Canada
MERCH0183,Merchant Generic 183,Dining,Canada
MERCH0184,Merchant Generic 184,Utilities,Canada
MERCH0185,Merchant Generic 185,Retail,Singapore
MERCH0186,Merchant Generic 186,E-commerce,USA
MERCH0187,Merchant Generic 187,Travel,France
MERCH0188,Merchant Generic 188,Retail,UK
MERCH0189,Merchant Generic 189,Entertainment,USA
MERCH0190,Merchant Generic 190,Entertainment,Canada
MERCH0191,Merchant Generic 191,Utilities,Singapore
MERCH0192,Merchant Generic 192,Retail,India
MERCH0193,Merchant Generic 193,Dining,Singapore
MERCH0194,Merchant Generic 194,Retail,France
MERCH0195,Merchant Generic 195,Travel,Germany
MERCH0196,Merchant Generic 196,Entertainment,UK
MERCH0197,Merchant Generic 197,Utilities,Australia
MERCH0198,Merchant Generic 198,Entertainment,India
MERCH0199,Merchant Generic 199,Retail,India
MERCH0200,Merchant Generic 200,Entertainment,India
MERCH0201,Merchant Generic 201,Travel,Singapore
MERCH0202,Merchant Generic 202,E-commerce,France
MERCH0203,Merchant Generic 203,Dining,Germany
MERCH0204,Merchant Generic 204,Utilities,France
MERCH0205,Merchant Generic 205,Retail,UK
MERCH0206,Merchant Generic 206,Retail,Australia
MERCH0207,Merchant Generic 207,Retail,Canada
MERCH0208,Merchant Generic 208,Travel,Germany
MERCH0209,Merchant Generic 209,Entertainment,Canada
MERCH0210,Merchant Generic 210,E-commerce,India
MERCH0211,Merchant Generic 211,Utilities,Singapore
MERCH0212,Merchant Generic 212,Dining,Singapore
MERCH0213,Merchant Generic 213,Travel,Germany
MERCH0214,Merchant Generic 214,Travel,UK
MERCH0215,Merchant Generic 215,Dining,India
MERCH0216,Merchant Generic 216,E-commerce,France
MERCH0217,Merchant Generic 217,Retail,Canada
MERCH0218,Merchant Generic 218,Retail,USA
MERCH0219,Merchant Generic 219,Retail,France
MERCH0220,Merchant Generic 220,E-commerce,Singapore
MERCH0221,Merchant Generic 221,Entertainment,France
MERCH0222,Merchant Generic 222,Entertainment,India
MERCH0223,Merchant Generic 223,Travel,Australia
MERCH0224,Merchant Generic 224,Utilities,Australia
MERCH0225,Merchant Generic 225,Utilities,India
MERCH0226,Merchant Generic 226,Utilities,France
MERCH0227,Merchant Generic 227,Retail,Canada
MERCH0228,Merchant Generic 228,Entertainment,USA
MERCH0229,Merchant Generic 229,Travel,Australia
MERCH0230,Merchant Generic 230,Retail,Singapore
MERCH0231,Merchant Generic 231,Travel,France
MERCH0232,Merchant Generic 232,Travel,Australia
MERCH0233,Merchant Generic 233,Utilities,USA
MERCH0234,Merchant Generic 234,E-commerce,Germany
MERCH0235,Merchant Generic 235,Travel,France
MERCH0236,Merchant Generic 236,Utilities,UK
MERCH0237,Merchant Generic 237,Travel,France
MERCH0238,Merchant Generic 238,Entertainment,Germany
MERCH0239,Merchant Generic 239,E-commerce,USA
MERCH0240,Merchant Generic 240,Retail,Germany
MERCH0241,Merchant Generic 241,Travel,USA
MERCH0242,Merchant Generic 242,Retail,Germany
MERCH0243,Merchant Generic 243,Entertainment,Singapore
MERCH0244,Merchant Generic 244,Dining,India
MERCH0245,Merchant Generic 245,Dining,USA
MERCH0246,Merchant Generic 246,E-commerce,Germany
MERCH0247,Merchant Generic 247,Dining,Germany
MERCH0248,Merchant Generic 248,Travel,USA
MERCH0249,Merchant Generic 249,Retail,USA
MERCH0250,Merchant Generic 250,E-commerce,Singapore
MERCH0251,Merchant Generic 251,E-commerce,Singapore
MERCH0252,Merchant Generic 252,Retail,Singapore
MERCH0253,Merchant Generic 253,Entertainment,Canada
MERCH0254,Merchant Generic 254,Retail,Singapore
MERCH0255,Merchant Generic 255,E-commerce,UK
MERCH0256,Merchant Generic 256,Travel,USA
MERCH0257,Merchant Generic 257,Utilities,France
MERCH0258,Merchant Generic 258,Entertainment,USA
MERCH0259,Merchant Generic 259,Entertainment,Canada
MERCH0260,Merchant Generic 260,Retail,Canada
MERCH0261,Merchant Generic 261,Retail,Canada
MERCH0262,Merchant Generic 262,Utilities,UK
MERCH0263,Merchant Generic 263,E-commerce,India
MERCH0264,Merchant Generic 264,Retail,UK
MERCH0265,Merchant Generic 265,Retail,USA
MERCH0266,Merchant Generic 266,Retail,Singapore
MERCH0267,Merchant Generic 267,E-commerce,USA
