MigrationID,Version,MigrationName,ExecutedAt,ExecutionTimeMs,Status
MIG-0001,v1.001,alter_table_exception_add_column_1,2020-01-03 17:09:00,1180,Success
MIG-0002,v1.002,alter_table_customer_rename_field_2,2020-01-05 03:05:00,555,Success
MIG-0003,v1.003,alter_table_wallet_create_table_3,2020-01-06 13:46:00,1150,Success
MIG-0004,v1.004,alter_table_transaction_create_table_4,2020-01-08 14:36:00,357,Success
MIG-0005,v1.005,alter_table_card_modify_index_5,2020-01-10 23:24:00,1931,Success
MIG-0006,v1.006,alter_table_card_modify_index_6,2020-01-13 11:53:00,2374,Success
MIG-0007,v1.007,alter_table_account_modify_index_7,2020-01-14 20:11:00,426,Success
MIG-0008,v1.008,alter_table_customer_rename_field_8,2020-01-15 22:43:00,181,Success
MIG-0009,v1.009,alter_table_merchant_drop_unused_9,2020-01-17 06:55:00,1420,Success
MIG-0010,v1.010,alter_table_wallet_add_column_10,2020-01-19 09:29:00,1439,Success
MIG-0011,v1.011,alter_table_card_drop_unused_11,2020-01-20 19:27:00,418,Success
MIG-0012,v1.012,alter_table_wallet_create_table_12,2020-01-22 06:39:00,591,Success
MIG-0013,v1.013,alter_table_transaction_drop_unused_13,2020-01-23 17:04:00,989,Success
MIG-0014,v1.014,alter_table_exception_drop_unused_14,2020-01-24 23:59:00,154,Success
MIG-0015,v1.015,alter_table_exception_drop_unused_15,2020-01-26 00:26:00,129,Success
MIG-0016,v1.016,alter_table_exception_modify_index_16,2020-01-28 12:58:00,2325,Success
MIG-0017,v1.017,alter_table_customer_add_column_17,2020-01-30 18:37:00,218,Success
MIG-0018,v1.018,alter_table_wallet_modify_index_18,2020-02-01 00:56:00,1032,Success
MIG-0019,v1.019,alter_table_card_drop_unused_19,2020-02-02 03:10:00,2451,Success
MIG-0020,v1.020,alter_table_card_create_table_20,2020-02-04 07:52:00,1681,Success
MIG-0021,v1.021,alter_table_transaction_modify_index_21,2020-02-06 08:55:00,1543,Success
MIG-0022,v1.022,alter_table_exception_drop_unused_22,2020-02-08 12:08:00,2125,Success
MIG-0023,v1.023,alter_table_transaction_rename_field_23,2020-02-11 01:01:00,124,Success
MIG-0024,v1.024,alter_table_account_rename_field_24,2020-02-13 06:47:00,946,Success
MIG-0025,v1.025,alter_table_exception_create_table_25,2020-02-14 19:17:00,1238,Success
MIG-0026,v1.026,alter_table_customer_create_table_26,2020-02-16 00:29:00,1426,Success
MIG-0027,v1.027,alter_table_customer_rename_field_27,2020-02-18 07:03:00,933,Success
MIG-0028,v1.028,alter_table_wallet_drop_unused_28,2020-02-20 15:10:00,2330,Success
