TransactionID,CustomerID,AccountID,CardID,MerchantID,DateKey,Amount,Currency,Status,Channel,TransactionType
TX-00001,CUST-0001,ACC-0001,CARD-0001,MERCH-0001,20260755,4983.17,USD,Approved,ATM,Withdrawal
TX-00002,CUST-0002,ACC-0002,CARD-0002,MERCH-0002,20260215,2754.19,INR,Approved,POS,Withdrawal
TX-00003,CUST-0003,ACC-0003,CARD-0003,MERCH-0003,20260126,1762.29,CAD,Approved,Mobile App,Transfer
TX-00004,CUST-0004,ACC-0004,CARD-0004,MERCH-0004,20260860,2271.46,GBP,Reversed,ATM,Transfer
TX-00005,CUST-0005,ACC-0005,CARD-0005,MERCH-0005,20260382,1536.58,GBP,Declined,Mobile App,Transfer
TX-00006,CUST-0006,ACC-0006,CARD-0006,MERCH-0006,20260351,1156.54,INR,Declined,Online,Refund
TX-00007,CUST-0007,ACC-0007,CARD-0007,MERCH-0007,20260329,3607.82,EUR,Reversed,Online,Refund
TX-00008,CUST-0008,ACC-0008,CARD-0008,MERCH-0008,20260243,1581.16,INR,Approved,ATM,Purchase
TX-00009,CUST-0009,ACC-0009,CARD-0009,MERCH-0009,20260855,3715.69,GBP,Reversed,ATM,Refund
TX-00010,CUST-0010,ACC-0010,CARD-0010,MERCH-0010,20260205,4754.63,INR,Declined,ATM,Transfer
TX-00011,CUST-0011,ACC-0011,CARD-0011,MERCH-0011,20260793,3452.37,USD,Declined,Online,Refund
TX-00012,CUST-0012,ACC-0012,CARD-0012,MERCH-0012,20260859,961.75,USD,Approved,Mobile App,Withdrawal
TX-00013,CUST-0013,ACC-0013,CARD-0013,MERCH-0013,20260659,3694.33,EUR,Declined,Online,Withdrawal
TX-00014,CUST-0014,ACC-0014,CARD-0014,MERCH-0014,20260190,1386.12,INR,Reversed,ATM,Transfer
TX-00015,CUST-0015,ACC-0015,CARD-0015,MERCH-0015,20260705,2949.99,INR,Approved,ATM,Refund
TX-00016,CUST-0016,ACC-0016,CARD-0016,MERCH-0016,20260533,3802.24,INR,Reversed,ATM,Refund
TX-00017,CUST-0017,ACC-0017,CARD-0017,MERCH-0017,20260133,2985.97,INR,Approved,ATM,Purchase
TX-00018,CUST-0018,ACC-0018,CARD-0018,MERCH-0018,20260131,4902.65,EUR,Declined,ATM,Purchase
TX-00019,CUST-0019,ACC-0019,CARD-0019,MERCH-0019,20260196,4163.98,GBP,Approved,ATM,Withdrawal
TX-00020,CUST-0020,ACC-0020,CARD-0020,MERCH-0020,20260324,1484.75,CAD,Approved,POS,Transfer
TX-00021,CUST-0021,ACC-0021,CARD-0021,MERCH-0021,20260339,1807.6,EUR,Approved,POS,Withdrawal
TX-00022,CUST-0022,ACC-0022,CARD-0022,MERCH-0022,20260618,1514.83,GBP,Approved,POS,Transfer
TX-00023,CUST-0023,ACC-0023,CARD-0023,MERCH-0023,20260717,3541.55,GBP,Declined,Online,Transfer
TX-00024,CUST-0024,ACC-0024,CARD-0024,MERCH-0024,20260128,637.28,GBP,Reversed,Mobile App,Transfer
TX-00025,CUST-0025,ACC-0025,CARD-0025,MERCH-0025,20260675,232.35,INR,Approved,ATM,Transfer
TX-00026,CUST-0026,ACC-0026,CARD-0026,MERCH-0026,20260304,277.36,EUR,Approved,POS,Refund
TX-00027,CUST-0027,ACC-0027,CARD-0027,MERCH-0027,20260834,1464.22,GBP,Approved,Online,Transfer
TX-00028,CUST-0028,ACC-0028,CARD-0028,MERCH-0028,20260766,4720.73,CAD,Declined,Mobile App,Refund
TX-00029,CUST-0029,ACC-0029,CARD-0029,MERCH-0029,20260819,3191.16,CAD,Approved,ATM,Transfer
TX-00030,CUST-0030,ACC-0030,CARD-0030,MERCH-0030,20260659,3765.2,USD,Approved,ATM,Refund
TX-00031,CUST-0031,ACC-0031,CARD-0031,MERCH-0031,20260530,517.43,GBP,Declined,Mobile App,Refund
TX-00032,CUST-0032,ACC-0032,CARD-0032,MERCH-0032,20260326,66.27,EUR,Reversed,Mobile App,Withdrawal
TX-00033,CUST-0033,ACC-0033,CARD-0033,MERCH-0033,20260560,1425.27,INR,Reversed,Mobile App,Withdrawal
TX-00034,CUST-0034,ACC-0034,CARD-0034,MERCH-0034,20260704,2396.18,USD,Declined,Online,Purchase
TX-00035,CUST-0035,ACC-0035,CARD-0035,MERCH-0035,20260385,1706.83,GBP,Declined,POS,Withdrawal
TX-00036,CUST-0036,ACC-0036,CARD-0036,MERCH-0036,20260929,4827.66,INR,Declined,ATM,Withdrawal
TX-00037,CUST-0037,ACC-0037,CARD-0037,MERCH-0037,20260107,1266.13,EUR,Declined,POS,Transfer
TX-00038,CUST-0038,ACC-0038,CARD-0038,MERCH-0038,20260878,4309.31,EUR,Declined,Mobile App,Purchase
TX-00039,CUST-0039,ACC-0039,CARD-0039,MERCH-0039,20260926,574.87,USD,Declined,ATM,Withdrawal
TX-00040,CUST-0040,ACC-0040,CARD-0040,MERCH-0040,20260264,331.39,USD,Approved,ATM,Withdrawal
TX-00041,CUST-0041,ACC-0041,CARD-0041,MERCH-0041,20260815,2461.27,GBP,Approved,POS,Refund
TX-00042,CUST-0042,ACC-0042,CARD-0042,MERCH-0042,20260533,2887.22,INR,Reversed,POS,Purchase
TX-00043,CUST-0043,ACC-0043,CARD-0043,MERCH-0043,20260449,3433.82,CAD,Approved,ATM,Purchase
TX-00044,CUST-0044,ACC-0044,CARD-0044,MERCH-0044,20260385,762.88,INR,Approved,Online,Purchase
TX-00045,CUST-0045,ACC-0045,CARD-0045,MERCH-0045,20260260,4056.65,EUR,Approved,Mobile App,Refund
TX-00046,CUST-0046,ACC-0046,CARD-0046,MERCH-0046,20260321,4745.88,EUR,Approved,POS,Purchase
TX-00047,CUST-0047,ACC-0047,CARD-0047,MERCH-0047,20260882,430.48,GBP,Approved,ATM,Purchase
TX-00048,CUST-0048,ACC-0048,CARD-0048,MERCH-0048,20260445,1244.71,CAD,Approved,POS,Refund
TX-00049,CUST-0049,ACC-0049,CARD-0049,MERCH-0049,20260205,2792.57,GBP,Reversed,ATM,Purchase
TX-00050,CUST-0050,ACC-0050,CARD-0050,MERCH-0050,20260195,2083.79,EUR,Approved,Online,Purchase
TX-00051,CUST-0051,ACC-0051,CARD-0051,MERCH-0051,20260490,2982.65,EUR,Approved,POS,Transfer
TX-00052,CUST-0052,ACC-0052,CARD-0052,MERCH-0052,20260200,3094.0,INR,Declined,ATM,Withdrawal
TX-00053,CUST-0053,ACC-0053,CARD-0053,MERCH-0053,20260468,3879.59,CAD,Reversed,POS,Purchase
TX-00054,CUST-0054,ACC-0054,CARD-0054,MERCH-0054,20260453,1904.99,INR,Declined,ATM,Refund
TX-00055,CUST-0055,ACC-0055,CARD-0055,MERCH-0055,20260719,4542.98,INR,Reversed,Mobile App,Transfer
TX-00056,CUST-0056,ACC-0056,CARD-0056,MERCH-0056,20260371,1490.28,GBP,Reversed,ATM,Withdrawal
TX-00057,CUST-0057,ACC-0057,CARD-0057,MERCH-0057,20260927,2944.68,INR,Approved,ATM,Withdrawal
TX-00058,CUST-0058,ACC-0058,CARD-0058,MERCH-0058,20260145,2147.01,USD,Reversed,ATM,Transfer
TX-00059,CUST-0059,ACC-0059,CARD-0059,MERCH-0059,20260848,2845.3,USD,Approved,ATM,Refund
TX-00060,CUST-0060,ACC-0060,CARD-0060,MERCH-0060,20260571,305.85,INR,Approved,Mobile App,Withdrawal
TX-00061,CUST-0061,ACC-0061,CARD-0061,MERCH-0061,20260650,4800.74,CAD,Reversed,Online,Withdrawal
TX-00062,CUST-0062,ACC-0062,CARD-0062,MERCH-0062,20260228,500.67,INR,Approved,Mobile App,Withdrawal
TX-00063,CUST-0063,ACC-0063,CARD-0063,MERCH-0063,20260488,3814.87,EUR,Reversed,Online,Purchase
TX-00064,CUST-0064,ACC-0064,CARD-0064,MERCH-0064,20260181,3129.45,EUR,Approved,Online,Purchase
TX-00065,CUST-0065,ACC-0065,CARD-0065,MERCH-0065,20260666,1326.91,CAD,Declined,Mobile App,Transfer
TX-00066,CUST-0066,ACC-0066,CARD-0066,MERCH-0066,20260401,410.53,GBP,Reversed,POS,Transfer
TX-00067,CUST-0067,ACC-0067,CARD-0067,MERCH-0067,20260744,1203.13,USD,Approved,Online,Refund
TX-00068,CUST-0068,ACC-0068,CARD-0068,MERCH-0068,20260734,2762.2,USD,Declined,Mobile App,Refund
TX-00069,CUST-0069,ACC-0069,CARD-0069,MERCH-0069,20260471,786.88,GBP,Approved,ATM,Transfer
TX-00070,CUST-0070,ACC-0070,CARD-0070,MERCH-0070,20260692,2045.55,INR,Approved,Mobile App,Refund
TX-00071,CUST-0071,ACC-0071,CARD-0071,MERCH-0071,20260297,3448.41,CAD,Approved,Online,Withdrawal
TX-00072,CUST-0072,ACC-0072,CARD-0072,MERCH-0072,20260822,2352.21,INR,Approved,POS,Withdrawal
TX-00073,CUST-0073,ACC-0073,CARD-0073,MERCH-0073,20260172,168.04,GBP,Declined,POS,Refund
TX-00074,CUST-0074,ACC-0074,CARD-0074,MERCH-0074,20260147,1444.08,CAD,Approved,POS,Refund
TX-00075,CUST-0075,ACC-0075,CARD-0075,MERCH-0075,20260778,1417.18,USD,Approved,ATM,Transfer
TX-00076,CUST-0076,ACC-0076,CARD-0076,MERCH-0076,20260334,4298.74,USD,Approved,Mobile App,Transfer
TX-00077,CUST-0077,ACC-0077,CARD-0077,MERCH-0077,20260892,360.54,INR,Declined,Mobile App,Refund
TX-00078,CUST-0078,ACC-0078,CARD-0078,MERCH-0078,20260397,1170.95,EUR,Approved,POS,Withdrawal
TX-00079,CUST-0079,ACC-0079,CARD-0079,MERCH-0079,20260182,1326.45,GBP,Approved,ATM,Purchase
TX-00080,CUST-0080,ACC-0080,CARD-0080,MERCH-0080,20260339,3957.28,GBP,Approved,POS,Refund
TX-00081,CUST-0081,ACC-0081,CARD-0081,MERCH-0081,20260204,2951.0,INR,Reversed,Online,Transfer
TX-00082,CUST-0082,ACC-0082,CARD-0082,MERCH-0082,20260490,4020.51,GBP,Approved,Mobile App,Transfer
TX-00083,CUST-0083,ACC-0083,CARD-0083,MERCH-0083,20260385,993.11,USD,Reversed,ATM,Refund
TX-00084,CUST-0084,ACC-0084,CARD-0084,MERCH-0084,20260565,578.31,INR,Declined,POS,Transfer
TX-00085,CUST-0085,ACC-0085,CARD-0085,MERCH-0085,20260751,1127.92,USD,Approved,ATM,Withdrawal
TX-00086,CUST-0086,ACC-0086,CARD-0086,MERCH-0086,20260474,749.2,CAD,Reversed,Online,Transfer
TX-00087,CUST-0087,ACC-0087,CARD-0087,MERCH-0087,20260267,1331.83,CAD,Approved,Online,Purchase
TX-00088,CUST-0088,ACC-0088,CARD-0088,MERCH-0088,20260480,715.47,EUR,Approved,Mobile App,Purchase
TX-00089,CUST-0089,ACC-0089,CARD-0089,MERCH-0089,20260464,302.89,GBP,Approved,ATM,Withdrawal
TX-00090,CUST-0090,ACC-0090,CARD-0090,MERCH-0090,20260315,3964.18,CAD,Approved,POS,Transfer
TX-00091,CUST-0091,ACC-0091,CARD-0091,MERCH-0091,20260787,2977.24,GBP,Reversed,POS,Transfer
TX-00092,CUST-0092,ACC-0092,CARD-0092,MERCH-0092,20260374,4122.08,USD,Approved,POS,Refund
TX-00093,CUST-0093,ACC-0093,CARD-0093,MERCH-0093,20260819,4606.36,INR,Reversed,Mobile App,Purchase
TX-00094,CUST-0094,ACC-0094,CARD-0094,MERCH-0094,20260800,2198.57,CAD,Approved,Online,Refund
TX-00095,CUST-0095,ACC-0095,CARD-0095,MERCH-0095,20260764,2346.15,INR,Reversed,POS,Refund
TX-00096,CUST-0096,ACC-0096,CARD-0096,MERCH-0096,20260174,1523.94,CAD,Reversed,Mobile App,Transfer
TX-00097,CUST-0097,ACC-0097,CARD-0097,MERCH-0097,20260724,2015.53,GBP,Approved,Mobile App,Purchase
TX-00098,CUST-0098,ACC-0098,CARD-0098,MERCH-0098,20260751,1364.87,CAD,Approved,Mobile App,Refund
