TransactionID,CustomerID,AccountID,CardID,MerchantID,DateKey,Amount,Currency,Status,Channel,TransactionType
TX00001,CUST0001,ACC0001,CARD0001,MERCH0001,20260755,4983.17,USD,Approved,ATM,Withdrawal
TX00002,CUST0002,ACC0002,CARD0002,MERCH0002,2026-02-15,2754.19,INR,Approved,POS,Withdrawal
TX00003,CUST0003,ACC0003,CARD0003,MERCH0003,2026-01-26,1762.29,CAD,Approved,Mobile App,Transfer
TX00004,CUST0004,ACC0004,CARD0004,MERCH0004,20260860,2271.46,GBP,Reversed,ATM,Transfer
TX00005,CUST0005,ACC0005,CARD0005,MERCH0005,20260382,1536.58,GBP,Declined,Mobile App,Transfer
TX00006,CUST0006,ACC0006,CARD0006,MERCH0006,20260351,1156.54,INR,Declined,Online,Refund
TX00007,CUST0007,ACC0007,CARD0007,MERCH0007,2026-03-29,3607.82,EUR,Reversed,Online,Refund
TX00008,CUST0008,ACC0008,CARD0008,MERCH0008,20260243,1581.16,INR,Approved,ATM,Purchase
TX00009,CUST0009,ACC0009,CARD0009,MERCH0009,20260855,3715.69,GBP,Reversed,ATM,Refund
TX00010,CUST0010,ACC0010,CARD0010,MERCH0010,2026-02-05,4754.63,INR,Declined,ATM,Transfer
TX00011,CUST0011,ACC0011,CARD0011,MERCH0011,20260793,3452.37,USD,Declined,Online,Refund
TX00012,CUST0012,ACC0012,CARD0012,MERCH0012,20260859,961.75,USD,Approved,Mobile App,Withdrawal
TX00013,CUST0013,ACC0013,CARD0013,MERCH0013,20260659,3694.33,EUR,Declined,Online,Withdrawal
TX00014,CUST0014,ACC0014,CARD0014,MERCH0014,20260190,1386.12,INR,Reversed,ATM,Transfer
TX00015,CUST0015,ACC0015,CARD0015,MERCH0015,2026-07-05,2949.99,INR,Approved,ATM,Refund
TX00016,CUST0016,ACC0016,CARD0016,MERCH0016,20260533,3802.24,INR,Reversed,ATM,Refund
TX00017,CUST0017,ACC0017,CARD0017,MERCH0017,20260133,2985.97,INR,Approved,ATM,Purchase
TX00018,CUST0018,ACC0018,CARD0018,MERCH0018,2026-01-31,4902.65,EUR,Declined,ATM,Purchase
TX00019,CUST0019,ACC0019,CARD0019,MERCH0019,20260196,4163.98,GBP,Approved,ATM,Withdrawal
TX00020,CUST0020,ACC0020,CARD0020,MERCH0020,2026-03-24,1484.75,CAD,Approved,POS,Transfer
TX00021,CUST0021,ACC0021,CARD0021,MERCH0021,20260339,1807.6,EUR,Approved,POS,Withdrawal
TX00022,CUST0022,ACC0022,CARD0022,MERCH0022,2026-06-18,1514.83,GBP,Approved,POS,Transfer
TX00023,CUST0023,ACC0023,CARD0023,MERCH0023,2026-07-17,3541.55,GBP,Declined,Online,Transfer
TX00024,CUST0024,ACC0024,CARD0024,MERCH0024,2026-01-28,637.28,GBP,Reversed,Mobile App,Transfer
TX00025,CUST0025,ACC0025,CARD0025,MERCH0025,20260675,232.35,INR,Approved,ATM,Transfer
TX00026,CUST0026,ACC0026,CARD0026,MERCH0026,2026-03-04,277.36,EUR,Approved,POS,Refund
TX00027,CUST0027,ACC0027,CARD0027,MERCH0027,20260834,1464.22,GBP,Approved,Online,Transfer
TX00028,CUST0028,ACC0028,CARD0028,MERCH0028,20260766,4720.73,CAD,Declined,Mobile App,Refund
TX00029,CUST0029,ACC0029,CARD0029,MERCH0029,2026-08-19,3191.16,CAD,Approved,ATM,Transfer
TX00030,CUST0030,ACC0030,CARD0030,MERCH0030,20260659,3765.2,USD,Approved,ATM,Refund
TX00031,CUST0031,ACC0031,CARD0031,MERCH0031,2026-05-30,517.43,GBP,Declined,Mobile App,Refund
TX00032,CUST0032,ACC0032,CARD0032,MERCH0032,2026-03-26,66.27,EUR,Reversed,Mobile App,Withdrawal
TX00033,CUST0033,ACC0033,CARD0033,MERCH0033,20260560,1425.27,INR,Reversed,Mobile App,Withdrawal
TX00034,CUST0034,ACC0034,CARD0034,MERCH0034,2026-07-04,2396.18,USD,Declined,Online,Purchase
TX00035,CUST0035,ACC0035,CARD0035,MERCH0035,20260385,1706.83,GBP,Declined,POS,Withdrawal
TX00036,CUST0036,ACC0036,CARD0036,MERCH0036,2026-09-29,4827.66,INR,Declined,ATM,Withdrawal
TX00037,CUST0037,ACC0037,CARD0037,MERCH0037,2026-01-07,1266.13,EUR,Declined,POS,Transfer
TX00038,CUST0038,ACC0038,CARD0038,MERCH0038,20260878,4309.31,EUR,Declined,Mobile App,Purchase
TX00039,CUST0039,ACC0039,CARD0039,MERCH0039,2026-09-26,574.87,USD,Declined,ATM,Withdrawal
TX00040,CUST0040,ACC0040,CARD0040,MERCH0040,20260264,331.39,USD,Approved,ATM,Withdrawal
TX00041,CUST0041,ACC0041,CARD0041,MERCH0041,2026-08-15,2461.27,GBP,Approved,POS,Refund
TX00042,CUST0042,ACC0042,CARD0042,MERCH0042,20260533,2887.22,INR,Reversed,POS,Purchase
TX00043,CUST0043,ACC0043,CARD0043,MERCH0043,20260449,3433.82,CAD,Approved,ATM,Purchase
TX00044,CUST0044,ACC0044,CARD0044,MERCH0044,20260385,762.88,INR,Approved,Online,Purchase
TX00045,CUST0045,ACC0045,CARD0045,MERCH0045,20260260,4056.65,EUR,Approved,Mobile App,Refund
TX00046,CUST0046,ACC0046,CARD0046,MERCH0046,2026-03-21,4745.88,EUR,Approved,POS,Purchase
TX00047,CUST0047,ACC0047,CARD0047,MERCH0047,20260882,430.48,GBP,Approved,ATM,Purchase
TX00048,CUST0048,ACC0048,CARD0048,MERCH0048,20260445,1244.71,CAD,Approved,POS,Refund
TX00049,CUST0049,ACC0049,CARD0049,MERCH0049,2026-02-05,2792.57,GBP,Reversed,ATM,Purchase
TX00050,CUST0050,ACC0050,CARD0050,MERCH0050,20260195,2083.79,EUR,Approved,Online,Purchase
TX00051,CUST0051,ACC0051,CARD0051,MERCH0051,20260490,2982.65,EUR,Approved,POS,Transfer
TX00052,CUST0052,ACC0052,CARD0052,MERCH0052,20260200,3094.0,INR,Declined,ATM,Withdrawal
TX00053,CUST0053,ACC0053,CARD0053,MERCH0053,20260468,3879.59,CAD,Reversed,POS,Purchase
TX00054,CUST0054,ACC0054,CARD0054,MERCH0054,20260453,1904.99,INR,Declined,ATM,Refund
TX00055,CUST0055,ACC0055,CARD0055,MERCH0055,2026-07-19,4542.98,INR,Reversed,Mobile App,Transfer
TX00056,CUST0056,ACC0056,CARD0056,MERCH0056,20260371,1490.28,GBP,Reversed,ATM,Withdrawal
TX00057,CUST0057,ACC0057,CARD0057,MERCH0057,2026-09-27,2944.68,INR,Approved,ATM,Withdrawal
TX00058,CUST0058,ACC0058,CARD0058,MERCH0058,20260145,2147.01,USD,Reversed,ATM,Transfer
TX00059,CUST0059,ACC0059,CARD0059,MERCH0059,20260848,2845.3,USD,Approved,ATM,Refund
TX00060,CUST0060,ACC0060,CARD0060,MERCH0060,20260571,305.85,INR,Approved,Mobile App,Withdrawal
TX00061,CUST0061,ACC0061,CARD0061,MERCH0061,20260650,4800.74,CAD,Reversed,Online,Withdrawal
TX00062,CUST0062,ACC0062,CARD0062,MERCH0062,2026-02-28,500.67,INR,Approved,Mobile App,Withdrawal
TX00063,CUST0063,ACC0063,CARD0063,MERCH0063,20260488,3814.87,EUR,Reversed,Online,Purchase
TX00064,CUST0064,ACC0064,CARD0064,MERCH0064,20260181,3129.45,EUR,Approved,Online,Purchase
TX00065,CUST0065,ACC0065,CARD0065,MERCH0065,20260666,1326.91,CAD,Declined,Mobile App,Transfer
TX00066,CUST0066,ACC0066,CARD0066,MERCH0066,2026-04-01,410.53,GBP,Reversed,POS,Transfer
TX00067,CUST0067,ACC0067,CARD0067,MERCH0067,20260744,1203.13,USD,Approved,Online,Refund
TX00068,CUST0068,ACC0068,CARD0068,MERCH0068,20260734,2762.2,USD,Declined,Mobile App,Refund
TX00069,CUST0069,ACC0069,CARD0069,MERCH0069,20260471,786.88,GBP,Approved,ATM,Transfer
TX00070,CUST0070,ACC0070,CARD0070,MERCH0070,20260692,2045.55,INR,Approved,Mobile App,Refund
TX00071,CUST0071,ACC0071,CARD0071,MERCH0071,20260297,3448.41,CAD,Approved,Online,Withdrawal
TX00072,CUST0072,ACC0072,CARD0072,MERCH0072,2026-08-22,2352.21,INR,Approved,POS,Withdrawal
TX00073,CUST0073,ACC0073,CARD0073,MERCH0073,20260172,168.04,GBP,Declined,POS,Refund
TX00074,CUST0074,ACC0074,CARD0074,MERCH0074,20260147,1444.08,CAD,Approved,POS,Refund
TX00075,CUST0075,ACC0075,CARD0075,MERCH0075,20260778,1417.18,USD,Approved,ATM,Transfer
TX00076,CUST0076,ACC0076,CARD0076,MERCH0076,20260334,4298.74,USD,Approved,Mobile App,Transfer
TX00077,CUST0077,ACC0077,CARD0077,MERCH0077,20260892,360.54,INR,Declined,Mobile App,Refund
TX00078,CUST0078,ACC0078,CARD0078,MERCH0078,20260397,1170.95,EUR,Approved,POS,Withdrawal
TX00079,CUST0079,ACC0079,CARD0079,MERCH0079,20260182,1326.45,GBP,Approved,ATM,Purchase
TX00080,CUST0080,ACC0080,CARD0080,MERCH0080,20260339,3957.28,GBP,Approved,POS,Refund
TX00081,CUST0081,ACC0081,CARD0081,MERCH0081,2026-02-04,2951.0,INR,Reversed,Online,Transfer
TX00082,CUST0082,ACC0082,CARD0082,MERCH0082,20260490,4020.51,GBP,Approved,Mobile App,Transfer
TX00083,CUST0083,ACC0083,CARD0083,MERCH0083,20260385,993.11,USD,Reversed,ATM,Refund
TX00084,CUST0084,ACC0084,CARD0084,MERCH0084,20260565,578.31,INR,Declined,POS,Transfer
TX00085,CUST0085,ACC0085,CARD0085,MERCH0085,20260751,1127.92,USD,Approved,ATM,Withdrawal
TX00086,CUST0086,ACC0086,CARD0086,MERCH0086,20260474,749.2,CAD,Reversed,Online,Transfer
TX00087,CUST0087,ACC0087,CARD0087,MERCH0087,20260267,1331.83,CAD,Approved,Online,Purchase
TX00088,CUST0088,ACC0088,CARD0088,MERCH0088,20260480,715.47,EUR,Approved,Mobile App,Purchase
TX00089,CUST0089,ACC0089,CARD0089,MERCH0089,20260464,302.89,GBP,Approved,ATM,Withdrawal
TX00090,CUST0090,ACC0090,CARD0090,MERCH0090,2026-03-15,3964.18,CAD,Approved,POS,Transfer
TX00091,CUST0091,ACC0091,CARD0091,MERCH0091,20260787,2977.24,GBP,Reversed,POS,Transfer
TX00092,CUST0092,ACC0092,CARD0092,MERCH0092,20260374,4122.08,USD,Approved,POS,Refund
TX00093,CUST0093,ACC0093,CARD0093,MERCH0093,2026-08-19,4606.36,INR,Reversed,Mobile App,Purchase
TX00094,CUST0094,ACC0094,CARD0094,MERCH0094,20260800,2198.57,CAD,Approved,Online,Refund
TX00095,CUST0095,ACC0095,CARD0095,MERCH0095,20260764,2346.15,INR,Reversed,POS,Refund
TX00096,CUST0096,ACC0096,CARD0096,MERCH0096,20260174,1523.94,CAD,Reversed,Mobile App,Transfer
TX00097,CUST0097,ACC0097,CARD0097,MERCH0097,2026-07-24,2015.53,GBP,Approved,Mobile App,Purchase
TX00098,CUST0098,ACC0098,CARD0098,MERCH0098,20260751,1364.87,CAD,Approved,Mobile App,Refund
TX00099,CUST0099,ACC0099,CARD0099,MERCH0099,20260276,2702.21,CAD,Approved,Mobile App,Transfer
TX00100,CUST0100,ACC0100,CARD0100,MERCH0100,20260647,2191.61,USD,Approved,Mobile App,Withdrawal
TX00101,CUST0101,ACC0101,CARD0101,MERCH0101,20260847,2992.19,EUR,Reversed,Mobile App,Purchase
TX00102,CUST0102,ACC0102,CARD0102,MERCH0102,20260351,4447.67,USD,Approved,Online,Transfer
TX00103,CUST0103,ACC0103,CARD0103,MERCH0103,20260268,3674.0,INR,Reversed,Online,Withdrawal
TX00104,CUST0104,ACC0104,CARD0104,MERCH0104,20260574,3020.55,GBP,Approved,POS,Refund
TX00105,CUST0105,ACC0105,CARD0105,MERCH0105,20260489,134.2,GBP,Approved,ATM,Refund
TX00106,CUST0106,ACC0106,CARD0106,MERCH0106,20260377,1148.48,CAD,Declined,Online,Refund
