TransactionID,CustomerID,AccountID,CardID,MerchantID,DateKey,Amount,Currency,Status,Channel,TransactionType
TX00001,CUST0358,ACC0358,CARD0181,MERCH0112,2025-01-05 07:42:20,78.33,USD,Approved,POS,Transfer
TX00002,CUST0146,ACC0146,CARD0393,MERCH0014,2025-12-19 20:01:45,323.31,EUR,Approved,Web,Purchase
TX00003,CUST0917,ACC0917,CARD1050,MERCH0091,2025-04-04 03:18:01,595.86,CAD,Approved,POS,Transfer
TX00004,CUST0511,ACC0511,CARD0769,MERCH0153,2025-05-13 08:56:17,79.83,USD,Approved,POS,Purchase
TX00005,CUST0888,ACC0888,CARD1075,MERCH0077,2025-12-07 10:19:37,331.28,CAD,Approved,POS,Purchase
TX00006,CUST0047,ACC0047,CARD1155,MERCH0085,2025-03-20 15:42:11,111.9,USD,Approved,Web,Purchase
TX00007,CUST0822,ACC0822,CARD0401,MERCH0109,2025-01-08 07:45:15,194.35,EUR,Approved,POS,Transfer
TX00008,CUST0029,ACC0029,CARD1338,MERCH0031,2025-05-29 10:45:49,11.96,USD,Approved,POS,Withdrawal
TX00009,CUST0978,ACC0978,CARD0425,MERCH0122,2025-04-01 04:45:31,127.23,EUR,Approved,Mobile App,Purchase
TX00010,CUST0081,ACC0081,CARD0730,MERCH0107,2025-10-16 01:49:13,15.91,USD,Approved,POS,Purchase
TX00011,CUST0440,ACC0440,CARD0867,MERCH0054,2025-12-22 19:15:06,51.92,EUR,Approved,POS,Purchase
TX00012,CUST0399,ACC0399,CARD0020,MERCH0133,2025-09-28 02:31:28,130.49,GBP,Approved,POS,Purchase
TX00013,CUST0190,ACC0190,CARD0710,MERCH0141,2025-01-11 15:17:21,251.89,GBP,Approved,POS,Purchase
TX00014,CUST0008,ACC0008,CARD0122,MERCH0156,2025-03-06 04:32:30,128.45,USD,Approved,Mobile App,Withdrawal
TX00015,CUST0401,ACC0401,CARD0512,MERCH0043,2025-06-21 22:36:37,417.78,GBP,Approved,POS,Purchase
TX00016,CUST0316,ACC0316,CARD1057,MERCH0089,2025-05-30 04:56:09,254.37,EUR,Approved,Web,Purchase
TX00017,CUST0164,ACC0164,CARD0525,MERCH0115,2025-05-26 23:01:02,30.48,INR,Approved,Web,Withdrawal
TX00018,CUST0176,ACC0176,CARD1355,MERCH0099,2025-07-28 12:52:45,78.89,EUR,Approved,ATM,Refund
TX00019,CUST0491,ACC0491,CARD1012,MERCH0047,2025-01-10 00:46:26,170.61,INR,Approved,POS,Purchase
TX00020,CUST0127,ACC0127,CARD1057,MERCH0071,2025-07-05 00:27:00,423.08,GBP,Approved,Web,Purchase
TX00021,CUST0347,ACC0347,CARD0158,MERCH0166,2025-05-14 00:48:02,664.92,GBP,Approved,POS,Transfer
TX00022,CUST0471,ACC0471,CARD1213,MERCH0067,2025-10-24 13:42:02,221.07,USD,Approved,Web,Purchase
TX00023,CUST0170,ACC0170,CARD0557,MERCH0062,2025-08-01 06:48:44,132.92,EUR,Approved,Web,Purchase
TX00024,CUST0602,ACC0602,CARD1123,MERCH0109,2025-01-18 04:24:21,216.96,EUR,Declined,POS,Withdrawal
TX00025,CUST0154,ACC0154,CARD0564,MERCH0167,2025-03-01 15:04:21,52.87,USD,Approved,Web,Transfer
TX00026,CUST0320,ACC0320,CARD0470,MERCH0037,2025-03-09 00:47:17,55.03,USD,Declined,Web,Withdrawal
TX00027,CUST0994,ACC0994,CARD0843,MERCH0119,2025-02-09 15:06:20,164.35,INR,Approved,POS,Purchase
TX00028,CUST0621,ACC0621,CARD1239,MERCH0086,2025-03-15 13:50:31,313.17,EUR,Approved,POS,Purchase
TX00029,CUST0613,ACC0613,CARD1066,MERCH0126,2025-09-19 10:37:35,530.03,USD,Approved,POS,Purchase
TX00030,CUST0460,ACC0460,CARD1082,MERCH0136,2025-10-01 08:12:00,67.63,EUR,Approved,POS,Purchase
TX00031,CUST0435,ACC0435,CARD0877,MERCH0052,2025-12-24 18:16:12,243.85,USD,Pending,POS,Purchase
TX00032,CUST0418,ACC0418,CARD0570,MERCH0091,2025-08-03 12:19:57,291.11,EUR,Approved,Web,Purchase
TX00033,CUST0498,ACC0498,CARD0341,MERCH0033,2025-10-13 17:44:25,151.4,EUR,Reversed,POS,Purchase
TX00034,CUST0602,ACC0602,CARD1123,MERCH0081,2025-05-29 07:37:33,69.06,USD,Approved,POS,Withdrawal
TX00035,CUST0899,ACC0899,CARD0524,MERCH0042,2025-04-17 04:09:48,149.78,GBP,Declined,Web,Transfer
TX00036,CUST0375,ACC0375,CARD1347,MERCH0112,2025-03-17 09:23:20,136.72,USD,Approved,Web,Purchase
TX00037,CUST0466,ACC0466,CARD0560,MERCH0126,2025-07-15 07:37:10,144.91,CAD,Approved,ATM,Purchase
TX00038,CUST0633,ACC0633,CARD1254,MERCH0155,2025-10-07 19:01:16,149.85,INR,Approved,Mobile App,Purchase
TX00039,CUST0764,ACC0764,CARD0146,MERCH0136,2025-04-28 21:36:38,286.65,USD,Approved,Web,Purchase
TX00040,CUST0744,ACC0744,CARD0752,MERCH0151,2025-03-02 15:37:12,32.96,GBP,Approved,POS,Purchase
TX00041,CUST0425,ACC0425,CARD0444,MERCH0106,2025-12-01 20:08:17,73.66,EUR,Approved,Web,Transfer
TX00042,CUST0023,ACC0023,CARD0386,MERCH0125,2025-02-20 08:41:23,137.28,EUR,Approved,Web,Purchase
TX00043,CUST0969,ACC0969,CARD0111,MERCH0113,2025-05-02 20:05:58,54.97,USD,Approved,Mobile App,Purchase
TX00044,CUST0906,ACC0906,CARD0249,MERCH0064,2025-01-08 07:12:48,578.55,EUR,Approved,POS,Purchase
TX00045,CUST0131,ACC0131,CARD0805,MERCH0123,2025-02-14 17:33:40,50.81,INR,Approved,Web,Purchase
TX00046,CUST0521,ACC0521,CARD0160,MERCH0114,2025-10-11 23:42:46,100.13,USD,Approved,Web,Purchase
TX00047,CUST0228,ACC0228,CARD1208,MERCH0020,2025-04-17 00:51:38,319.78,USD,Approved,POS,Withdrawal
TX00048,CUST0571,ACC0571,CARD0663,MERCH0016,2025-07-12 20:27:13,17.52,USD,Approved,Web,Transfer
TX00049,CUST0770,ACC0770,CARD0063,MERCH0145,2025-12-03 10:37:24,262.79,EUR,Approved,POS,Withdrawal
TX00050,CUST0117,ACC0117,CARD0289,MERCH0019,2025-03-03 15:05:33,131.95,CAD,Approved,Web,Purchase
TX00051,CUST0987,ACC0987,CARD1313,MERCH0120,2025-10-09 19:33:43,9.85,EUR,Approved,Web,Withdrawal
TX00052,CUST0216,ACC0216,CARD0855,MERCH0136,2025-02-08 12:20:11,354.82,USD,Declined,POS,Purchase
TX00053,CUST0194,ACC0194,CARD0318,MERCH0166,2025-10-04 09:50:21,11.0,EUR,Approved,Mobile App,Withdrawal
TX00054,CUST0489,ACC0489,CARD0094,MERCH0038,2025-04-25 10:42:55,113.61,USD,Approved,Mobile App,Purchase
TX00055,CUST0370,ACC0370,CARD1347,MERCH0181,2025-05-01 15:21:08,12.54,USD,Approved,POS,Withdrawal
TX00056,CUST0153,ACC0153,CARD1265,MERCH0093,2025-06-12 21:50:10,16.08,EUR,Approved,POS,Purchase
TX00057,CUST0676,ACC0676,CARD1025,MERCH0105,2025-06-25 14:29:41,332.33,USD,Approved,Web,Transfer
TX00058,CUST0802,ACC0802,CARD0449,MERCH0100,2025-12-03 07:30:02,222.75,GBP,Approved,Web,Purchase
TX00059,CUST0719,ACC0719,CARD0358,MERCH0090,2025-11-20 03:27:40,37.9,EUR,Approved,Web,Purchase
TX00060,CUST0107,ACC0107,CARD0521,MERCH0159,2025-10-02 04:34:07,150.32,GBP,Approved,Mobile App,Purchase
TX00061,CUST0511,ACC0511,CARD0769,MERCH0044,2025-04-11 23:07:45,242.48,INR,Approved,ATM,Purchase
TX00062,CUST0736,ACC0736,CARD0740,MERCH0188,2025-03-07 15:18:34,335.53,CAD,Declined,Web,Purchase
TX00063,CUST0991,ACC0991,CARD0624,MERCH0076,2025-02-14 20:55:50,99.75,USD,Approved,POS,Purchase
TX00064,CUST0160,ACC0160,CARD0749,MERCH0145,2025-03-08 14:34:42,346.68,CAD,Approved,Web,Purchase
TX00065,CUST0509,ACC0509,CARD0762,MERCH0079,2025-07-24 08:22:01,111.35,GBP,Approved,Web,Purchase
TX00066,CUST0268,ACC0268,CARD1017,MERCH0073,2025-06-27 09:38:42,179.82,GBP,Approved,Mobile App,Purchase
TX00067,CUST0441,ACC0441,CARD0823,MERCH0167,2025-10-07 14:19:03,584.69,USD,Approved,POS,Purchase
TX00068,CUST0561,ACC0561,CARD0676,MERCH0170,2025-01-17 19:59:35,45.37,USD,Approved,Web,Purchase
TX00069,CUST0096,ACC0096,CARD1077,MERCH0176,2025-07-21 08:30:14,32.68,INR,Approved,Web,Purchase
TX00070,CUST0424,ACC0424,CARD1003,MERCH0140,2025-09-19 04:53:21,67.79,USD,Approved,Web,Purchase
TX00071,CUST0701,ACC0701,CARD1251,MERCH0096,2025-05-29 19:52:23,31.94,USD,Approved,POS,Refund
TX00072,CUST0648,ACC0648,CARD0500,MERCH0089,2025-02-04 23:08:32,55.15,USD,Approved,Mobile App,Refund
TX00073,CUST0089,ACC0089,CARD1486,MERCH0103,2025-01-29 04:31:32,208.79,CAD,Approved,Web,Transfer
TX00074,CUST0266,ACC0266,CARD0346,MERCH0146,2025-10-06 07:46:40,102.38,EUR,Approved,Mobile App,Purchase
TX00075,CUST0281,ACC0281,CARD0816,MERCH0006,2025-03-17 08:26:23,75.51,CAD,Reversed,POS,Withdrawal
TX00076,CUST0712,ACC0712,CARD0471,MERCH0122,2025-01-10 11:21:50,74.0,USD,Approved,Web,Purchase
TX00077,CUST0346,ACC0346,CARD1244,MERCH0171,2025-04-27 06:54:15,37.45,USD,Approved,ATM,Purchase
TX00078,CUST0691,ACC0691,CARD0672,MERCH0116,2025-08-06 01:20:41,93.97,EUR,Approved,ATM,Transfer
TX00079,CUST0173,ACC0173,CARD0796,MERCH0163,2025-09-09 07:28:38,151.98,EUR,Approved,ATM,Refund
TX00080,CUST0736,ACC0736,CARD0740,MERCH0182,2025-11-18 04:50:43,27.48,USD,Approved,POS,Withdrawal
TX00081,CUST0261,ACC0261,CARD0151,MERCH0062,2025-08-21 03:19:51,545.75,USD,Approved,Web,Purchase
TX00082,CUST0361,ACC0361,CARD0700,MERCH0197,2025-07-25 00:41:13,92.85,USD,Approved,POS,Purchase
TX00083,CUST0329,ACC0329,CARD1307,MERCH0144,2025-02-13 08:56:50,448.36,USD,Approved,POS,Purchase
TX00084,CUST0099,ACC0099,CARD0764,MERCH0136,2025-12-05 10:21:57,26.69,EUR,Approved,POS,Purchase
TX00085,CUST0084,ACC0084,CARD0996,MERCH0089,2025-03-24 15:10:04,223.65,USD,Approved,Web,Withdrawal
TX00086,CUST0090,ACC0090,CARD1276,MERCH0096,2025-10-09 20:29:08,149.21,USD,Approved,Mobile App,Purchase
TX00087,CUST0675,ACC0675,CARD1385,MERCH0126,2025-08-16 14:02:31,262.27,USD,Approved,Web,Purchase
TX00088,CUST0687,ACC0687,CARD1141,MERCH0090,2025-05-10 10:32:38,142.7,USD,Approved,Mobile App,Purchase
TX00089,CUST0782,ACC0782,CARD0518,MERCH0086,2025-02-19 13:01:10,498.86,CAD,Approved,POS,Purchase
TX00090,CUST0183,ACC0183,CARD1401,MERCH0159,2025-12-03 18:40:03,152.9,USD,Approved,Mobile App,Refund
TX00091,CUST0878,ACC0878,CARD0360,MERCH0138,2025-10-03 16:10:35,235.29,USD,Declined,POS,Purchase
TX00092,CUST0064,ACC0064,CARD1391,MERCH0184,2025-01-13 10:31:30,320.05,EUR,Declined,Web,Purchase
TX00093,CUST0953,ACC0953,CARD1063,MERCH0121,2025-08-12 09:22:21,193.07,EUR,Approved,Web,Purchase
TX00094,CUST0814,ACC0814,CARD0771,MERCH0076,2025-06-24 17:01:54,116.43,EUR,Approved,Mobile App,Withdrawal
TX00095,CUST0475,ACC0475,CARD0790,MERCH0092,2025-03-31 11:55:03,52.79,USD,Approved,ATM,Transfer
TX00096,CUST0773,ACC0773,CARD0795,MERCH0070,2025-08-29 00:20:18,294.13,EUR,Approved,POS,Purchase
TX00097,CUST0993,ACC0993,CARD1374,MERCH0148,2025-11-02 08:21:45,103.26,EUR,Approved,POS,Purchase
TX00098,CUST0292,ACC0292,CARD0104,MERCH0133,2025-01-03 18:04:23,150.42,USD,Approved,Web,Purchase
TX00099,CUST0405,ACC0405,CARD0471,MERCH0023,2025-06-13 05:03:46,17.38,USD,Approved,Web,Transfer
TX00100,CUST0465,ACC0465,CARD1142,MERCH0137,2025-08-23 16:10:15,108.18,EUR,Approved,Web,Purchase
TX00101,CUST0266,ACC0266,CARD0346,MERCH0058,2025-04-26 20:17:59,184.68,EUR,Approved,POS,Withdrawal
TX00102,CUST0852,ACC0852,CARD0759,MERCH0187,2025-05-22 02:00:53,136.59,INR,Approved,Mobile App,Purchase
TX00103,CUST0339,ACC0339,CARD0816,MERCH0182,2025-02-15 17:52:11,94.28,EUR,Approved,POS,Withdrawal
TX00104,CUST0382,ACC0382,CARD0490,MERCH0046,2025-08-26 18:46:33,42.93,GBP,Approved,POS,Purchase
TX00105,CUST0246,ACC0246,CARD0660,MERCH0022,2025-06-01 10:23:56,60.59,USD,Approved,POS,Purchase
TX00106,CUST0525,ACC0525,CARD0380,MERCH0192,2025-01-18 10:41:25,185.91,CAD,Approved,ATM,Purchase
TX00107,CUST0604,ACC0604,CARD1049,MERCH0008,2025-05-17 04:28:21,43.08,EUR,Approved,POS,Purchase
TX00108,CUST0642,ACC0642,CARD0029,MERCH0123,2025-05-08 23:29:43,150.82,EUR,Approved,Web,Purchase
TX00109,CUST0479,ACC0479,CARD0154,MERCH0020,2025-07-05 01:23:24,138.64,USD,Approved,POS,Purchase
TX00110,CUST0549,ACC0549,CARD0115,MERCH0179,2025-06-27 12:45:24,533.09,USD,Approved,Web,Purchase
TX00111,CUST0760,ACC0760,CARD1143,MERCH0078,2025-01-06 10:19:30,14.41,GBP,Declined,ATM,Withdrawal
TX00112,CUST0531,ACC0531,CARD1192,MERCH0039,2025-02-05 04:04:22,22.16,USD,Approved,POS,Purchase
TX00113,CUST0302,ACC0302,CARD0338,MERCH0037,2025-12-22 18:18:50,110.81,USD,Approved,Mobile App,Withdrawal
TX00114,CUST0109,ACC0109,CARD1153,MERCH0178,2025-10-27 10:06:05,117.33,USD,Pending,ATM,Purchase
TX00115,CUST0322,ACC0322,CARD1046,MERCH0162,2025-08-25 21:07:40,11.11,USD,Approved,Web,Transfer
TX00116,CUST0214,ACC0214,CARD0642,MERCH0075,2025-11-26 07:24:33,267.18,EUR,Approved,POS,Purchase
TX00117,CUST0918,ACC0918,CARD0804,MERCH0118,2025-09-18 15:54:47,107.4,EUR,Approved,Mobile App,Purchase
TX00118,CUST0613,ACC0613,CARD1066,MERCH0104,2025-04-20 16:24:36,68.84,USD,Approved,Mobile App,Purchase
TX00119,CUST0579,ACC0579,CARD1297,MERCH0161,2025-09-09 20:55:51,62.6,EUR,Approved,ATM,Purchase
TX00120,CUST0973,ACC0973,CARD0034,MERCH0031,2025-11-09 09:19:01,301.43,GBP,Approved,Mobile App,Purchase
TX00121,CUST0221,ACC0221,CARD1077,MERCH0123,2025-05-24 22:25:39,37.86,CAD,Approved,Web,Withdrawal
TX00122,CUST0378,ACC0378,CARD1312,MERCH0054,2025-09-25 02:34:50,31.23,EUR,Declined,Web,Purchase
TX00123,CUST0937,ACC0937,CARD0699,MERCH0172,2025-01-03 16:22:22,40.96,EUR,Approved,Web,Transfer
TX00124,CUST0162,ACC0162,CARD0541,MERCH0034,2025-08-24 08:22:23,152.13,USD,Reversed,POS,Withdrawal
TX00125,CUST0321,ACC0321,CARD1399,MERCH0199,2025-08-17 10:12:21,254.85,EUR,Approved,Web,Purchase
TX00126,CUST0659,ACC0659,CARD1206,MERCH0122,2025-10-02 23:47:54,65.29,GBP,Approved,Mobile App,Transfer
TX00127,CUST0621,ACC0621,CARD1239,MERCH0113,2025-11-25 12:01:02,33.58,EUR,Approved,Web,Transfer
TX00128,CUST0945,ACC0945,CARD1298,MERCH0062,2025-05-06 21:49:50,40.21,USD,Approved,Mobile App,Purchase
TX00129,CUST0774,ACC0774,CARD0689,MERCH0023,2025-03-13 22:03:17,149.82,EUR,Approved,POS,Purchase
TX00130,CUST0435,ACC0435,CARD0877,MERCH0046,2025-11-20 03:45:15,47.36,CAD,Approved,POS,Purchase
TX00131,CUST0900,ACC0900,CARD0346,MERCH0056,2025-06-21 10:43:42,319.68,CAD,Approved,POS,Purchase
TX00132,CUST0558,ACC0558,CARD1301,MERCH0135,2025-08-05 07:44:52,21.45,GBP,Declined,POS,Purchase
TX00133,CUST0033,ACC0033,CARD0857,MERCH0118,2025-12-02 19:15:10,9.94,USD,Approved,Web,Refund
TX00134,CUST0673,ACC0673,CARD0829,MERCH0189,2025-10-25 10:28:15,18.88,USD,Approved,ATM,Purchase
TX00135,CUST0144,ACC0144,CARD0871,MERCH0131,2025-07-01 01:13:49,285.27,GBP,Approved,Web,Purchase
TX00136,CUST0441,ACC0441,CARD0823,MERCH0166,2025-07-24 23:16:56,163.0,USD,Approved,POS,Withdrawal
TX00137,CUST0903,ACC0903,CARD1102,MERCH0162,2025-07-18 19:26:03,479.6,EUR,Approved,POS,Purchase
TX00138,CUST0432,ACC0432,CARD1127,MERCH0113,2025-06-14 19:41:37,66.49,EUR,Reversed,Web,Transfer
TX00139,CUST0727,ACC0727,CARD0676,MERCH0044,2025-05-10 06:02:10,40.87,EUR,Approved,POS,Purchase
TX00140,CUST0523,ACC0523,CARD0852,MERCH0128,2025-05-02 05:33:31,128.82,EUR,Approved,Web,Purchase
TX00141,CUST0156,ACC0156,CARD0096,MERCH0108,2025-07-15 11:54:13,120.77,CAD,Approved,POS,Purchase
TX00142,CUST0708,ACC0708,CARD1439,MERCH0158,2025-07-23 10:13:38,139.11,USD,Approved,POS,Withdrawal
TX00143,CUST0188,ACC0188,CARD1283,MERCH0017,2025-11-14 05:11:28,69.05,GBP,Approved,Web,Purchase
TX00144,CUST0629,ACC0629,CARD0954,MERCH0059,2025-01-17 19:07:59,5.89,GBP,Approved,Web,Refund
TX00145,CUST0974,ACC0974,CARD0623,MERCH0138,2025-01-09 23:32:08,10.35,CAD,Approved,POS,Purchase
TX00146,CUST0066,ACC0066,CARD1479,MERCH0099,2025-07-20 11:06:34,168.52,EUR,Approved,ATM,Transfer
TX00147,CUST0856,ACC0856,CARD0797,MERCH0084,2025-05-20 05:13:50,116.12,EUR,Approved,POS,Purchase
TX00148,CUST0454,ACC0454,CARD1498,MERCH0146,2025-11-18 21:24:26,263.06,INR,Approved,POS,Refund
TX00149,CUST0639,ACC0639,CARD0795,MERCH0045,2025-01-08 05:56:35,58.59,EUR,Approved,Web,Purchase
TX00150,CUST0917,ACC0917,CARD1050,MERCH0108,2025-12-21 00:43:51,258.49,EUR,Declined,Web,Purchase
TX00151,CUST0995,ACC0995,CARD1470,MERCH0187,2025-04-23 09:50:47,88.14,USD,Approved,POS,Purchase
